ID,Tweet,clean_tweet
1907516219441516758,@CarlosdeArce1 Completamente de acuerdo, carlosdearce1 completamente acuerdo
1907515208060514531,"@CarlosdeArce1 @Brucebatman007 Sabe usted que era una película, no? Y que Iceman era su papel no? Pues eso!", carlosdearce1  brucebatman007 sabe usted película  no  iceman papel no  pues 
1907513048081781037,@Brucebatman007 D.E.P Iceman, brucebatman007 dep iceman
1907500414485909822,@Brucebatman007 Joder, brucebatman007 joder
1907488910470488368,@Brucebatman007 https://t.co/HTp8CcKkwY, brucebatman007
1907488872105214041,@Brucebatman007 https://t.co/Mn13Y7WHPC, brucebatman007
1907486100773376279,@Brucebatman007 🙏, brucebatman007  manos_en_oración 
1907481258981990506,@Brucebatman007 Totalmente, brucebatman007 totalmente
1907479102379999629,"@Brucebatman007 El todo poderoso y angel de la guarda de Maverick, el almirante IceMan", brucebatman007 todo poderoso angel guarda maverick  almirante iceman
1907477708642156871,@Brucebatman007 Brutal, brucebatman007 brutal
1907470866302251409,@Brucebatman007 Que en Paz Descanse 🙏🏼 🕊️, brucebatman007 paz descanse  manos_en_oración_tono_de_piel_claro_medio   paloma 
1907466755079094373,@Brucebatman007 En honor a Val Kilmer., brucebatman007 honor val kilmer 
1907465340994441582,@Brucebatman007 Genial, brucebatman007 genial
1907459746413613435,@Brucebatman007 🥲, brucebatman007  cara_sonriente_con_lágrima 
1907455572623925522,@Brucebatman007 Todos los aviones del mundo deberían estar volando hoy en su honor 🧐, brucebatman007 aviones mundo deberían volando hoy honor  cara_con_monóculo 
1907450570337644860,@satoshioshii @Brucebatman007 Gran película eh, satoshioshii  brucebatman007 gran película eh
1907434618569081212,"@EdwinPa87510782 Si, en la escena se le nota muy triste a Cruise 🥹", edwinpa87510782 si  escena nota muy triste cruise  cara_aguantándose_las_lágrimas 
1907432186304667724,@Brucebatman007 Creo que tom Cruise ya sabía que lo de el era terminal por eso hizo la película me imagino gran homenaje, brucebatman007 creo tom cruise sabía lo terminal hizo película me imagino gran homenaje
1907425665550307661,@Annabella5264 Mucho 🥹, annabella5264  cara_aguantándose_las_lágrimas 
1907420885784379741,"@Brucebatman007 Val ""Corazón Trueno"" Kilmer https://t.co/277U7srXNL", brucebatman007 val  corazón trueno  kilmer
1907408547375181936,@Brucebatman007 💔💔💔 Día muy triste, brucebatman007  corazón_roto  corazón_roto  corazón_roto  día muy triste
1907401522771534137,@norma_ovelar Absolutamente 🥲, norma_ovelar absolutamente  cara_sonriente_con_lágrima 
1907400874688671752,@Brucebatman007 https://t.co/EtoNE2ThHz, brucebatman007
1907399943557362146,@Brucebatman007 Un homenaje al gran VAL KILMER😭QEPD, brucebatman007 homenaje gran val kilmer  cara_llorando_fuerte  qepd
1907399648693641648,@Brucebatman007 QEPD, brucebatman007 qepd
1907394702116110666,@Brucebatman007 💔🥺, brucebatman007  corazón_roto  cara_suplicante 
1907393054316638238,@Brucebatman007 https://t.co/PKR3SIWa1M, brucebatman007
1907392499846398422,"@Brucebatman007 Tal cual, vuela alto Iceman 🧊🌿🌿🧊🧊🧊🧊", brucebatman007 tal  vuela alto iceman  cubito_de_hielo  hierba  hierba  cubito_de_hielo  cubito_de_hielo  cubito_de_hielo  cubito_de_hielo 
1907391762605195491,@Brucebatman007 De mis ídolos y más después de interpretar su propio funeral... GENIO!!, brucebatman007 ídolos más después interpretar propio funeral  genio  
1907389449643733241,@Brucebatman007 😪😪😪, brucebatman007  cara_de_sueño  cara_de_sueño  cara_de_sueño 
1907365578135724514,@Brucebatman007 DESCANSA EN PAZ, brucebatman007 descansa paz
1907363018372989267,@Brucebatman007 Buenísimo ❤️🫶, brucebatman007 buenísimo  corazón_rojo  manos_formando_un_corazón 
1907360904162755026,"@Brucebatman007 Madre mía, qué mal...😥", brucebatman007 madre  mal   cara_triste_pero_aliviada 
1907356374759084367,"@Brucebatman007 Qué bajón!
Se nos va un mito.
😞😞😞 https://t.co/lK21JMq5z1", brucebatman007 bajón  va mito   cara_decepcionada  cara_decepcionada  cara_decepcionada 
